name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Amuseables Coffee Bean Bag,,Not in stock,0,60.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Coffee+Bean+Bag,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Coffee+Bean+Bag&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Coffee Bean Bag,Jellycat Amuseables Coffee Bean Bag,39.00,40.95,60.00,50.00,19.05,46.52%,0-Karen,Karen-3,,,,,
Amuseables Colette Heart Macaron (Pink),,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-colette-heart-macaron/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Colette+Heart+Macaron+%28Pink%29&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Colette Heart Macaron (Pink),Jellycat Amuseables Colette Heart Macaron (Pink),45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Coneroi Temaki,,Not in stock,0,75.00,38.00,https://us.jellycat.com/amuseables-coneroi-temaki/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Coneroi+Temaki&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Coneroi Temaki,Jellycat Amuseables Coneroi Temaki,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Cow,,Not in stock,0,45.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Cow,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Cow&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Cow,Jellycat Amuseables Cow,21.80,22.89,45.00,30.00,22.11,96.59%,0-Karen,Karen-2,,,,,
Amuseables Heart Boiled Egg,A6BEHE,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-heart-boiled-egg/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Heart+Boiled+Egg&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Heart Boiled Egg,Jellycat Amuseables Heart Boiled Egg,38.00,39.90,60.00,55.00,20.10,50.38%,,,,,,,
Amuseables Horatio Pistachio,,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-horatio-pistachio/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Horatio+Pistachio&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Horatio Pistachio,Jellycat Amuseables Horatio Pistachio,38.00,39.90,60.00,50.00,20.10,50.38%,0-Karen,Karen-3,,,,,
Amuseables Hot Dog,,Not in stock,0,70.00,35.00,https://us.jellycat.com/amuseables-hot-dog/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Hot+Dog&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Hot Dog,Jellycat Amuseables Hot Dog,48.00,50.40,70.00,70.00,19.60,38.89%,,,,,,,
Amuseables Hydrangea,,Not in stock,0,130.00,75.00,https://us.jellycat.com/amuseables-hydrangea/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Hydrangea&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Hydrangea,Jellycat Amuseables Hydrangea,105.00,110.25,130.00,150.00,19.75,17.91%,,,,,,,
Amuseables Ivy,,Not in stock,0,110.00,60.00,https://us.jellycat.com/amuseables-ivy/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Ivy&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Ivy,Jellycat Amuseables Ivy,85.00,89.25,110.00,120.00,20.75,23.25%,,,,,,,
Amuseables Jellysaucer,A2CRAFT,Not in stock,0,130.00,75.00,https://us.jellycat.com/amuseables-jellysaucer/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Jellysaucer&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Jellysaucer,Jellycat Amuseables Jellysaucer,105.00,110.25,130.00,150.00,19.75,17.91%,,,,,,,
